genepop_output_maleshunted.txt
L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24
Pop
D005 ,  0105 0106 0104 0104 0108 0108 0106 0107 0109 0201 0203 0204 0104 0104 0103 0103 0108 0108 0105 0106 0107 0107 0000 0000
D035 ,  0105 0106 0105 0106 0108 0109 0107 0108 0200 0200 0202 0204 0104 0104 0104 0105 0108 0108 0106 0106 0105 0106 0000 0000
D067 ,  0105 0106 0105 0106 0109 0109 0106 0108 0200 0200 0204 0204 0104 0104 0103 0104 0108 0108 0106 0107 0106 0107 0000 0000
D134 ,  0105 0106 0104 0106 0108 0108 0107 0107 0200 0200 0205 0205 0104 0104 0102 0106 0108 0108 0106 0106 0107 0107 0104 0104
D135 ,  0106 0108 0105 0106 0108 0108 0106 0107 0109 0206 0203 0203 0104 0104 0104 0104 0108 0108 0106 0106 0106 0106 0104 0104
D136 ,  0106 0106 0105 0105 0108 0200 0106 0108 0109 0200 0203 0204 0104 0104 0103 0105 0108 0108 0106 0106 0106 0106 0104 0104
D137 ,  0104 0105 0105 0106 0108 0200 0106 0107 0109 0200 0203 0204 0104 0104 0104 0104 0108 0108 0106 0106 0106 0108 0104 0104
D138 ,  0104 0106 0105 0105 0108 0109 0106 0107 0200 0200 0204 0204 0104 0104 0102 0103 0108 0108 0106 0107 0105 0106 0104 0104
D139 ,  0105 0105 0106 0106 0108 0108 0106 0106 0200 0200 0203 0204 0104 0104 0103 0103 0108 0108 0106 0106 0106 0106 0104 0104
D140 ,  0105 0106 0105 0106 0108 0109 0107 0108 0109 0200 0202 0204 0104 0104 0104 0105 0108 0108 0106 0106 0106 0106 0104 0104
D141 ,  0104 0105 0106 0106 0108 0109 0106 0108 0109 0200 0203 0205 0104 0105 0102 0104 0108 0108 0106 0106 0106 0108 0104 0105
D150 ,  0105 0106 0106 0106 0108 0108 0106 0107 0109 0109 0203 0205 0104 0105 0104 0106 0108 0108 0106 0106 0105 0107 0104 0105
D177 ,  0104 0106 0105 0106 0108 0108 0106 0107 0200 0201 0205 0205 0104 0104 0104 0104 0108 0108 0106 0106 0107 0108 0104 0104
D178 ,  0106 0106 0106 0106 0108 0108 0107 0107 0109 0206 0203 0205 0104 0104 0104 0105 0108 0108 0105 0107 0106 0107 0104 0104
D179 ,  0105 0107 0106 0106 0108 0200 0107 0107 0200 0200 0204 0205 0104 0104 0103 0103 0108 0108 0106 0106 0106 0106 0104 0104
D180 ,  0105 0106 0106 0106 0109 0200 0107 0108 0109 0109 0203 0205 0104 0104 0102 0104 0108 0108 0105 0106 0106 0106 0104 0104
D187 ,  0105 0106 0105 0106 0108 0109 0107 0108 0200 0200 0203 0204 0104 0104 0103 0104 0108 0108 0106 0106 0105 0106 0104 0104
D188 ,  0105 0105 0105 0106 0108 0108 0106 0107 0200 0201 0204 0204 0104 0105 0103 0105 0108 0108 0106 0106 0106 0108 0104 0105
D191 ,  0105 0105 0105 0105 0108 0109 0106 0107 0109 0200 0203 0204 0104 0105 0103 0104 0108 0108 0106 0106 0106 0107 0104 0105
D418 ,  0105 0106 0105 0106 0108 0109 0107 0107 0200 0200 0203 0203 0104 0105 0102 0104 0108 0108 0106 0106 0106 0107 0104 0105
D601 ,  0106 0106 0104 0106 0108 0108 0108 0108 0109 0200 0203 0204 0104 0104 0102 0105 0108 0108 0106 0106 0106 0108 0104 0104
D836 ,  0105 0106 0106 0106 0109 0109 0107 0108 0109 0200 0202 0203 0104 0104 0103 0104 0108 0108 0105 0106 0107 0108 0104 0104
D837 ,  0106 0106 0106 0106 0108 0108 0106 0107 0109 0200 0204 0205 0104 0104 0104 0105 0108 0108 0106 0106 0106 0106 0104 0104
D838 ,  0106 0106 0105 0105 0108 0109 0106 0108 0200 0200 0203 0204 0104 0104 0103 0104 0108 0108 0106 0107 0105 0106 0104 0104
D839 ,  0105 0106 0106 0107 0108 0108 0107 0107 0200 0200 0204 0204 0104 0104 0103 0104 0108 0108 0106 0106 0106 0106 0104 0104
D840 ,  0105 0106 0105 0106 0108 0108 0107 0107 0109 0200 0203 0205 0104 0104 0103 0104 0108 0109 0105 0106 0105 0106 0104 0104
D841 ,  0105 0105 0105 0105 0108 0109 0106 0108 0109 0200 0202 0203 0104 0104 0103 0104 0108 0108 0106 0106 0106 0107 0104 0104
D842 ,  0105 0105 0106 0106 0108 0108 0106 0107 0200 0200 0203 0205 0105 0105 0104 0104 0108 0108 0105 0106 0106 0106 0105 0105
D843 ,  0105 0106 0106 0106 0108 0108 0107 0107 0109 0200 0204 0205 0104 0104 0104 0106 0108 0108 0106 0106 0106 0107 0104 0104
D844 ,  0105 0107 0105 0106 0108 0108 0106 0107 0208 0209 0203 0203 0104 0104 0102 0104 0108 0108 0105 0106 0106 0106 0104 0104
D912 ,  0106 0106 0106 0106 0108 0108 0107 0107 0109 0109 0204 0204 0104 0104 0103 0103 0108 0108 0105 0106 0106 0106 0104 0104
D913 ,  0105 0106 0104 0105 0108 0109 0106 0107 0200 0200 0203 0205 0104 0105 0104 0104 0108 0108 0106 0107 0105 0106 0104 0105
D914 ,  0106 0106 0106 0106 0108 0108 0106 0107 0109 0200 0204 0205 0104 0104 0103 0103 0108 0109 0105 0106 0106 0106 0104 0104
D922 ,  0105 0105 0105 0106 0108 0108 0106 0108 0109 0109 0203 0203 0104 0104 0102 0103 0108 0108 0106 0106 0106 0106 0104 0104
D939 ,  0105 0106 0105 0106 0108 0109 0106 0108 0109 0109 0203 0204 0104 0104 0102 0103 0108 0108 0106 0106 0106 0106 0104 0104
D944 ,  0106 0106 0104 0106 0108 0200 0107 0107 0200 0208 0204 0205 0105 0105 0104 0105 0108 0108 0106 0107 0106 0106 0105 0105
D945 ,  0105 0106 0105 0106 0108 0108 0106 0108 0200 0201 0203 0204 0104 0104 0102 0103 0108 0108 0106 0106 0106 0106 0104 0104
D985 ,  0105 0106 0106 0106 0108 0109 0108 0108 0109 0109 0204 0205 0104 0104 0103 0105 0108 0108 0105 0106 0106 0107 0104 0104
D986 ,  0105 0106 0105 0106 0108 0109 0107 0107 0109 0208 0201 0203 0104 0104 0104 0104 0108 0109 0105 0106 0106 0106 0104 0104
D987 ,  0106 0106 0104 0106 0108 0108 0106 0107 0109 0109 0203 0204 0104 0104 0104 0105 0108 0109 0105 0105 0106 0107 0104 0104
D988 ,  0106 0106 0106 0106 0108 0109 0106 0107 0109 0201 0203 0204 0104 0104 0104 0104 0108 0109 0105 0106 0105 0106 0104 0104
D996 ,  0106 0106 0106 0106 0108 0108 0107 0107 0109 0200 0203 0204 0104 0104 0104 0105 0108 0109 0105 0106 0105 0106 0104 0104
D997 ,  0106 0106 0106 0106 0108 0108 0106 0107 0109 0109 0204 0205 0104 0104 0102 0104 0108 0108 0106 0106 0106 0107 0104 0104
D998 ,  0105 0106 0105 0107 0109 0202 0106 0108 0200 0200 0204 0204 0104 0104 0104 0105 0108 0108 0106 0106 0105 0106 0104 0104
D999 ,  0104 0105 0106 0106 0108 0109 0106 0107 0200 0208 0204 0204 0104 0104 0104 0104 0108 0108 0106 0106 0106 0106 0104 0104  Pop
Pop
Pop
Pop
Pop
